symbol,sector,tier,valid_from,valid_to,evidence
TATACHEM,Chemicals,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TATACOMM,Telecommunication,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TATACONSUM,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TATAELXSI,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TATAGLOBAL,Fast Moving Consumer Goods,2,2010-07-21,9999-12-31,inherit:TATACONSUM via TATACONSUM
TATAMOTORS,Automobile and Auto Components,2,2010-01-04,9999-12-31,inherit:TATAMOTORS via TMPV
TATAMTRDVR,Automobile and Auto Components,3,2016-02-11,9999-12-31,manual-register
TATAPOWER,Power,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TATASTEEL,Metals & Mining,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TATATECH,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TCS,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TECHM,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TIINDIA,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TITAGARH,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TITAN,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TMPV,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TORNTPHARM,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TORNTPOWER,Power,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TRENT,Consumer Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
TV18BRDCST,Media Entertainment & Publication,3,2016-02-11,9999-12-31,manual-register
TVSMOTOR,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
UBL,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
UCOBANK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
UJJIVAN,Financial Services,3,2016-02-11,9999-12-31,manual-register
ULTRACEMCO,Construction Materials,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
UNIONBANK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
UNITDSPR,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
UNITECH,Realty,3,2016-02-11,9999-12-31,manual-register
UNOMINDA,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
UPL,Chemicals,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
VBL,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
VEDL,Metals & Mining,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
VGUARD,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
VMM,Consumer Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
VOLTAS,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
WAAREEENER,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
WHIRLPOOL,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
WIPRO,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
WOCKPHARMA,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
YESBANK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ZEEL,Media Entertainment & Publication,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ZOMATO,Consumer Services,2,2021-07-23,9999-12-31,inherit:ETERNAL via ETERNAL
ZYDUSLIFE,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
