symbol,sector,tier,valid_from,valid_to,evidence
CHENNPETRO,Oil Gas & Consumable Fuels,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
CHOLAFIN,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
CIPLA,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
COALINDIA,Oil Gas & Consumable Fuels,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
COCHINSHIP,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
COFORGE,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
COLPAL,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
CONCOR,Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
COROMANDEL,Chemicals,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
CROMPGREAV,Capital Goods,2,2010-01-04,9999-12-31,inherit:CGPOWER via CGPOWER
CROMPTON,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
CUB,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
CUMMINSIND,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
CYIENT,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
DABUR,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
DALBHARAT,Construction Materials,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
DALMIABHA,Construction Materials,3,2016-02-11,9999-12-31,manual-register
DCBBANK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
DEEPAKNTR,Chemicals,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
DELHIVERY,Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
DELTACORP,Consumer Durables,3,2016-02-11,9999-12-31,manual-register
DHFL,Financial Services,3,2016-02-11,9999-12-31,manual-register
DISHTV,Media Entertainment & Publication,3,2016-02-11,9999-12-31,manual-register
DIVISLAB,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
DIXON,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
DLF,Realty,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
DMART,Consumer Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
DRREDDY,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
EICHERMOT,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ENGINERSIN,Construction,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
EQUITAS,Financial Services,3,2016-02-11,9999-12-31,manual-register
ESCORTS,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ETERNAL,Consumer Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
EXIDEIND,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
FEDERALBNK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
FORCEMOT,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
FORTIS,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
FSL,Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
GAIL,Oil Gas & Consumable Fuels,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
GLENMARK,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
GMRAIRPORT,Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
GMRINFRA,Services,2,2010-01-04,9999-12-31,inherit:GMRAIRPORT via GMRAIRPORT
GNFC,Chemicals,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
GODFRYPHLP,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
GODREJCP,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
GODREJIND,Diversified,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
GODREJPROP,Realty,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
GRANULES,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
GRASIM,Construction Materials,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
GSFC,Chemicals,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
GSPL,Oil Gas & Consumable Fuels,3,2016-02-11,9999-12-31,manual-register
GUJGASLTD,Oil Gas & Consumable Fuels,3,2016-02-11,9999-12-31,manual-register
GVT&D,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HAL,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HAVELLS,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HCC,Construction,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HCLTECH,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HDFC,Financial Services,3,2016-02-11,9999-12-31,manual-register
HDFCAMC,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HDFCBANK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HDFCLIFE,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HDIL,Realty,3,2016-02-11,9999-12-31,manual-register
HEROMOTOCO,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HEXAWARE,Information Technology,3,2016-02-11,9999-12-31,manual-register
HFCL,Telecommunication,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HINDALCO,Metals & Mining,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HINDCOPPER,Metals & Mining,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HINDPETRO,Oil Gas & Consumable Fuels,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HINDUNILVR,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HINDZINC,Metals & Mining,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HONAUT,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HUDCO,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
HYUNDAI,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
IBREALEST,Realty,3,2016-02-11,9999-12-31,manual-register
IBULHSGFIN,Financial Services,2,2013-07-23,9999-12-31,inherit:IBULHSGFIN via SAMMAANCAP
ICICIBANK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ICICIGI,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ICICIPRULI,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ICIL,Textiles,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
IDBI,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
IDEA,Telecommunication,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
IDFC,Financial Services,3,2016-02-11,9999-12-31,manual-register
IDFCBANK,Financial Services,2,2015-11-06,9999-12-31,inherit:IDFCBANK via IDFCFIRSTB
IDFCFIRSTB,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
IEX,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
IFCI,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
IGL,Oil Gas & Consumable Fuels,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
IIFL,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
INDHOTEL,Consumer Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
INDIACEM,Construction Materials,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
INDIAMART,Consumer Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
INDIANB,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
INDIGO,Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
INDUSINDBK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
INDUSTOWER,Telecommunication,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
INFIBEAM,Information Technology,3,2016-02-11,9999-12-31,manual-register
INFRATEL,Telecommunication,2,2012-12-28,9999-12-31,inherit:INDUSTOWER via INDUSTOWER
INFY,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
INOXWIND,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
INTELLECT,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
IOB,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
IOC,Oil Gas & Consumable Fuels,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
IPCALAB,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
IRB,Construction,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
