session_date,timestamp,open,high,low,close,volume
2023-01-02,2023-01-02 09:15:00,18131.7,18150.15,18117.55,18141.35,0
2023-01-02,2023-01-02 09:16:00,18142.2,18145.7,18131.4,18135.65,0
2023-01-02,2023-01-02 09:17:00,18133.25,18140.55,18120.65,18140.55,0
2023-01-02,2023-01-02 09:18:00,18139.4,18139.4,18120.15,18130.75,0
2023-01-02,2023-01-02 09:19:00,18130.3,18133.55,18113.05,18113.1,0
2023-01-02,2023-01-02 09:20:00,18115.75,18125.9,18097.5,18117.85,0
2023-01-02,2023-01-02 09:21:00,18118.65,18126.5,18117.6,18122.75,0
2023-01-02,2023-01-02 09:22:00,18122.25,18122.25,18111.1,18114.95,0
2023-01-02,2023-01-02 09:23:00,18114.4,18116.65,18106.5,18116.65,0
2023-01-02,2023-01-02 09:24:00,18117.7,18139.2,18116.55,18131.0,0
2023-01-02,2023-01-02 09:25:00,18130.5,18132.95,18123.15,18131.0,0
2023-01-02,2023-01-02 09:26:00,18131.5,18132.15,18114.65,18114.65,0
2023-01-02,2023-01-02 09:27:00,18113.8,18113.8,18104.0,18109.15,0
2023-01-02,2023-01-02 09:28:00,18109.45,18114.3,18099.4,18103.7,0
2023-01-02,2023-01-02 09:29:00,18102.75,18104.0,18092.4,18101.85,0
2023-01-02,2023-01-02 09:30:00,18101.9,18111.55,18094.25,18094.35,0
2023-01-02,2023-01-02 09:31:00,18093.4,18103.45,18087.55,18103.2,0
2023-01-02,2023-01-02 09:32:00,18103.25,18103.25,18091.7,18096.25,0
2023-01-02,2023-01-02 09:33:00,18096.2,18117.7,18089.95,18112.45,0
2023-01-02,2023-01-02 09:34:00,18113.4,18128.7,18107.1,18123.05,0
2023-01-02,2023-01-02 09:35:00,18121.2,18124.05,18113.2,18123.1,0
2023-01-02,2023-01-02 09:36:00,18120.9,18129.6,18116.2,18129.1,0
2023-01-02,2023-01-02 09:37:00,18129.45,18131.05,18126.7,18130.35,0
2023-01-02,2023-01-02 09:38:00,18130.3,18139.4,18129.05,18133.95,0
2023-01-02,2023-01-02 09:39:00,18134.1,18146.65,18133.5,18146.65,0
2023-01-02,2023-01-02 09:40:00,18146.0,18150.25,18135.0,18135.85,0
2023-01-02,2023-01-02 09:41:00,18136.7,18146.25,18136.7,18146.25,0
2023-01-02,2023-01-02 09:42:00,18145.3,18145.75,18141.7,18143.65,0
2023-01-02,2023-01-02 09:43:00,18144.2,18144.2,18136.25,18141.0,0
2023-01-02,2023-01-02 09:44:00,18140.55,18150.3,18140.55,18150.2,0
2023-01-02,2023-01-02 09:45:00,18150.2,18154.8,18145.5,18145.5,0
2023-01-02,2023-01-02 09:46:00,18143.95,18148.05,18140.35,18148.05,0
2023-01-02,2023-01-02 09:47:00,18148.4,18165.9,18147.7,18164.95,0
2023-01-02,2023-01-02 09:48:00,18162.8,18167.25,18161.1,18162.6,0
2023-01-02,2023-01-02 09:49:00,18162.4,18165.4,18161.15,18163.35,0
2023-01-02,2023-01-02 09:50:00,18164.25,18167.55,18162.55,18166.0,0
2023-01-02,2023-01-02 09:51:00,18165.9,18166.3,18160.8,18162.7,0
2023-01-02,2023-01-02 09:52:00,18162.6,18162.95,18158.7,18160.6,0
2023-01-02,2023-01-02 09:53:00,18159.5,18160.65,18156.85,18159.35,0
2023-01-02,2023-01-02 09:54:00,18159.65,18167.2,18159.3,18165.3,0
2023-01-02,2023-01-02 09:55:00,18164.95,18171.75,18164.45,18168.85,0
2023-01-02,2023-01-02 09:56:00,18167.65,18169.85,18161.95,18165.25,0
